date,index_symbol,eod_index_value,high,low,index_market_value,dividend_market_value
2022-11-23,NQX,2367.74,2373.28,2344.4,13910015162579.0,911578905.0
2023-02-14,NQX,2518.18,2525.48,2471.26,14604020611830.0,1459094819.0
2023-11-07,NQX,3059.2,3067.09,3030.68,17701527347825.0,
2019-09-25,NQX,1560.71,1564.49,1529.53,8756830617107.0,
2020-11-02,NQX,2216.95,2244.42,2191.42,12508836452068.0,119512331.0
2020-05-15,NQX,1830.53,1831.49,1791.62,10255508366665.0,1196206950.0
2022-08-22,NQX,2578.11,2614.61,2571.96,15168254869752.0,
2022-06-01,NQX,2509.67,2564.09,2491.58,14825682404905.0,1079365735.0
2025-04-10,NQX,3668.71,3742.12,3558.97,22492200819024.0,476217970.0
2018-10-30,NQX,1362.02,1363.25,1330.51,7824530720880.0,748590205.0
2022-04-06,NQX,2899.78,2927.87,2879.08,17131357310208.0,
2021-12-01,NQX,3175.54,3285.44,3172.86,18361890237050.0,1055549583.0
2022-06-02,NQX,2578.58,2579.51,2489.55,15232730080428.0,2031632703.0
2023-05-02,NQX,2622.73,2648.31,2609.36,15181867313574.0,
2022-12-29,NQX,2190.21,2196.21,2155.3,12701991034561.0,612094267.0
2024-11-25,NQX,4160.98,4199.7,4142.48,24769308309872.0,130583359.0
2020-12-16,NQX,2533.63,2539.62,2513.74,14290338816496.0,
2020-08-27,NQX,2385.23,2409.6,2368.57,13432442963015.0,796573423.0
2019-12-11,NQX,1680.52,1681.56,1672.27,9385599535230.0,
2022-03-21,NQX,2875.22,2894.14,2838.11,16986267496600.0,2144572646.0
2022-09-12,NQX,2547.94,2550.57,2527.95,14990789230914.0,
2019-07-02,NQX,1559.96,1560.09,1549.2,8758930794147.0,993641905.0
2019-04-03,NQX,1508.99,1517.94,1504.08,8503359374294.0,
2024-10-17,NQX,4038.08,4075.59,4037.29,23925218856370.0,
2022-12-15,NQX,2269.04,2318.25,2260.07,13328972290403.0,
2018-06-20,NQX,1456.14,1462.0,1451.37,8243693451610.0,
2023-04-26,NQX,2561.3,2585.92,2556.68,14826246647791.0,232649667.0
2022-09-22,NQX,2300.33,2323.6,2289.77,13470283910151.0,
2021-02-25,NQX,2565.66,2658.91,2554.75,14652729242138.0,571068064.0
2022-01-24,NQX,2901.92,2906.51,2744.97,17151046600774.0,
2024-10-01,NQX,3954.66,4011.03,3924.46,23396261639026.0,
2020-12-03,NQX,2493.43,2507.78,2489.07,14063561649690.0,2014129236.0
